"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CLOEON"	NA	"CLOEON"	"Cloeon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"FALLCEON"	NA	"FALLCEON"	"Fallceon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PLAUDITUS"	NA	"PLAUDITUS"	"Plauditus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PROCLOEON"	NA	"PROCLOEON"	"Procloeon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PSEUDOCLOEON"	NA	"PSEUDOCLOEON"	"Pseudocloeon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	NA	NA	"BAETIDAE"	"Baetidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"SIPHLONURIDAE"	NA	NA	NA	"SIPHLONURUS"	NA	"SIPHLONURUS"	"Siphlonurus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"GOMPHIDAE"	NA	NA	NA	"ERPETOGOMPHUS"	NA	"ERPETOGOMPHUS"	"Erpetogomphus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"LIBELLULIDAE"	NA	NA	NA	"BRECHMORHOGA"	NA	"BRECHMORHOGA"	"Brechmorhoga"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"LIBELLULIDAE"	NA	NA	NA	"ERYTHEMIS"	NA	"ERYTHEMIS"	"Erythemis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"CALOPTERYGIDAE"	NA	NA	NA	"CALOPTERYX"	NA	"CALOPTERYX"	"Calopteryx"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"CALOPTERYGIDAE"	NA	NA	NA	"HETAERINA"	NA	"HETAERINA"	"Hetaerina"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"AMPHIAGRION"	NA	"AMPHIAGRION"	"Amphiagrion"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"ARGIA"	NA	"ARGIA"	"Argia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"CHROMAGRION"	NA	"CHROMAGRION"	"Chromagrion"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"PROTONEURIDAE"	NA	NA	NA	"NEONEURA"	NA	"NEONEURA"	"Neoneura"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"BIVALVIA"	"HETERODONTA"	NA	NA	"VENEROIDA"	NA	NA	"CORBICULOIDEA"	"CORBICULIDAE"	NA	NA	NA	"CORBICULA"	NA	"CORBICULA"	"Corbicula"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"BIVALVIA"	"HETERODONTA"	NA	NA	"VENEROIDA"	NA	NA	"CORBICULOIDEA"	"PISIDIIDAE"	NA	NA	NA	"PISIDIUM"	NA	"PISIDIUM"	"Pisidium"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	"PROSOBRANCHIA"	NA	NA	"ARCHITAENIOGLOSSA"	NA	NA	NA	"VIVIPARIDAE"	NA	NA	NA	"CAMPELOMA"	NA	"CAMPELOMA"	"Campeloma"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	"PROSOBRANCHIA"	NA	NA	"NERITOPSINA"	NA	NA	NA	"HELICINIDAE"	NA	NA	NA	"HELICINA"	NA	"HELICINA"	"Helicina"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"ANCYLIDAE"	NA	NA	NA	"FERRISSIA"	NA	"FERRISSIA"	"Ferrissia"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"LYMNAEIDAE"	NA	NA	NA	"FOSSARIA"	NA	"FOSSARIA"	"Fossaria"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"LYMNAEIDAE"	NA	NA	NA	"PSEUDOSUCCINEA"	NA	"PSEUDOSUCCINEA"	"Pseudosuccinea"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PHYSIDAE"	NA	NA	NA	"PHYSA"	NA	"PHYSA"	"Physa"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PHYSIDAE"	NA	NA	NA	"PHYSELLA"	NA	"PHYSELLA"	"Physella"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"BIOMPHALARIA"	NA	"BIOMPHALARIA"	"Biomphalaria"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"GYRAULUS"	NA	"GYRAULUS"	"Gyraulus"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"HELISOMA"	NA	"HELISOMA"	"Helisoma"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"PLANORBULA"	NA	"PLANORBULA"	"Planorbula"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"HETEROSTROPHA"	NA	NA	NA	"VALVATIDAE"	NA	NA	NA	"VALVATA"	NA	"VALVATA"	"Valvata"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"BITHYNIIDAE"	NA	NA	NA	"BITHYNIA"	NA	"BITHYNIA"	"Bithynia"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"HYDROBIIDAE"	NA	NA	NA	"AMNICOLA"	NA	"AMNICOLA"	"Amnicola"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"THIARIDAE"	NA	NA	NA	"MELANOIDES"	NA	"MELANOIDES"	"Melanoides"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"STYLOMMATOPHORA"	NA	NA	NA	"POLYGYRIDAE"	NA	NA	NA	"LINISA"	NA	"LINISA"	"Linisa"
"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"STYLOMMATOPHORA"	NA	NA	NA	"STROBILOPSIDAE"	NA	NA	NA	"STROBILOPS"	NA	"STROBILOPS"	"Strobilops"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ALISOTRICHA"	"Alisotricha"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"METRICA"	"METRICA"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PISIDUM"	"Pisidum"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"POMATOPSIS"	"POMATOPSIS"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RISSOOIDEA"	"Rissooidea Pomatiopsis"
